query,vol,kd,intent,pillars,in_master
deficiency of vitamin b 12,60500,55,informational,nutrition,false
and vitamin b12 deficiency,60500,71,informational,nutrition,false
deficiency of vitamin b12,60500,63,informational,nutrition,false
b12 vitamin deficiency,60500,63,informational,nutrition,false
blood test booking,49500,14,transactional,commercial-bloodtest,false
book for blood test,49500,14,informational,commercial-bloodtest,false
blood work test,49500,33,informational,commercial-bloodtest,true
blood test,49500,10,informational,commercial-bloodtest,true
blood analysis test,49500,66,informational,commercial-bloodtest,false
booking blood test,49500,14,transactional,commercial-bloodtest,false
booking a blood test,49500,18,transactional,commercial-bloodtest,false
blood test bookings,49500,14,transactional,commercial-bloodtest,false
blood test book,49500,14,informational,commercial-bloodtest,false
booking for blood test,49500,14,transactional,commercial-bloodtest,false
vitamin a and d deficiency,49500,64,informational,nutrition,true
vitamin d deficiency vitamin,49500,37,informational,nutrition,false
deficiency in vitamin d,49500,33,informational,nutrition,false
disease for vitamin d deficiency,49500,53,informational,nutrition,false
vitamin deficiency d,49500,37,informational,nutrition,false
d vitamin deficiency,49500,37,informational,nutrition,false
vitamin d deficiency,49500,37,informational,nutrition,true
vitamin for vitamin d deficiency,49500,37,informational,nutrition,false
vitamin d deficiency disease,49500,40,informational,nutrition,true
disease vitamin d deficiency,49500,53,informational,nutrition,false
vitamin d deficiency diseases,49500,53,informational,nutrition,false
deficiency vitamin d,49500,37,informational,nutrition,false
swiftqueue blood test,40500,19,informational,commercial-bloodtest,false
vitamin deficiency b12,40500,,informational,nutrition,false
vitamin v12 deficiency,40500,95,informational,nutrition,false
vitamin b12 deficiency,40500,44,informational,nutrition,false
vitamin b 12 deficiency,40500,44,informational,nutrition,false
d vitamin deficiency symptoms,33100,29,informational,nutrition,false
deficiency vitamin d symptoms,33100,23,informational,nutrition,false
symptoms of deficiency of vitamin d,33100,23,informational,nutrition,false
symptoms for deficiency of vitamin d,33100,23,informational,nutrition,false
deficiency of vitamin b12 symptoms,33100,68,informational,nutrition,false
symptoms for deficiency of vitamin b12,33100,68,informational,nutrition,false
vitamin d deficiency disease symptoms,33100,71,informational,nutrition,true
vitamin b12 symptoms of deficiency,33100,36,informational,nutrition,false
symptom vitamin d deficiency,33100,23,informational,nutrition,false
vitamin d symptoms of deficiency,33100,28,informational,nutrition,false
b12 vitamin deficiency symptoms,33100,71,informational,nutrition,false
vitamin b deficiency diseases symptoms,33100,60,informational,nutrition,false
book a blood test online,27100,14,transactional,commercial-bloodtest,false
booking a blood test online,27100,14,transactional,commercial-bloodtest,false
c reactive protein blood test,27100,42,informational,commercial-bloodtest,false
crp on blood test,27100,11,informational,commercial-bloodtest,false
blood for crp test,27100,7,informational,commercial-bloodtest,false
booking blood test online,27100,14,transactional,commercial-bloodtest,false
blood test booking online,27100,5,transactional,commercial-bloodtest,false
online blood test booking,27100,22,transactional,commercial-bloodtest,false
blood test online booking,27100,27,transactional,commercial-bloodtest,false
blood test c reactive protein crp,27100,42,informational,commercial-bloodtest,true
cpr in blood test,27100,,informational,commercial-bloodtest,false
blood test book online,27100,20,informational,commercial-bloodtest,false
c reactive protein on blood test,27100,47,informational,commercial-bloodtest,false
c protein blood test,27100,44,informational,commercial-bloodtest,false
crp test of blood,27100,11,informational,commercial-bloodtest,false
c-reactive protein blood test,27100,47,informational,commercial-bloodtest,false
blood test crp,27100,10,informational,commercial-bloodtest,false
crp blood test,27100,11,informational,commercial-bloodtest,true
blood work crp test,27100,27,informational,commercial-bloodtest,true
crp test blood,27100,11,informational,commercial-bloodtest,false
book a blood test,22200,14,transactional,commercial-bloodtest,false
how do i lose fat belly,22200,59,informational,weight,false
how do you lose belly fat,22200,57,informational,weight,false
how to lose belly fat stomach,22200,57,informational,weight,false
how to lose belly fat,22200,57,informational,weight,false
how can i lose belly fat,22200,57,informational,weight,false
how to lose fat from belly,22200,57,informational,weight,false
how do you lose fat belly,22200,76,informational,weight,false
how to to lose belly fat,22200,57,informational,weight,false
how to lose fat on belly,22200,57,informational,weight,false
how to lose fat at belly,22200,57,informational,weight,false
how how to lose belly fat,22200,57,informational,weight,false
how the lose belly fat,22200,57,informational,weight,false
how lose fat belly,22200,46,informational,weight,false
how to.lose belly fat,22200,57,informational,weight,false
how can i lose the belly fat,22200,57,informational,weight,false
how do i lose belly fat,22200,47,informational,weight,false
how can you lose belly fat,22200,57,informational,weight,false
how to lose fat in the belly,22200,57,informational,weight,false
blood test and liver function,18100,34,informational,commercial-bloodtest,false
blood work test for liver function,18100,22,informational,commercial-bloodtest,true
liver test in blood,18100,49,informational,commercial-bloodtest,false
liver enzymes in blood test,18100,27,informational,commercial-bloodtest,false
blood test fbc,18100,7,informational,commercial-bloodtest,false
liver function blood test,18100,18,informational,commercial-bloodtest,true
liver test blood,18100,42,informational,commercial-bloodtest,false
liver test blood work,18100,50,informational,commercial-bloodtest,false
liver blood test,18100,30,informational,commercial-bloodtest,false
liver function on blood test,18100,18,informational,commercial-bloodtest,false
fbc blood test,18100,9,informational,commercial-bloodtest,true
f b c blood test,18100,18,informational,commercial-bloodtest,false
blood test liver,18100,50,informational,commercial-bloodtest,false
blood test for liver enzymes,18100,31,informational,commercial-bloodtest,false
lft on blood test,18100,22,informational,commercial-bloodtest,false
liver enzymes blood test,18100,30,informational,commercial-bloodtest,false
blood test liver function,18100,18,informational,commercial-bloodtest,false
blood test for liver function,18100,18,informational,commercial-bloodtest,false
belly fat visceral,18100,54,informational,weight,false
belly fat visceral fat,18100,64,informational,weight,false
visceral belly fat,18100,44,informational,weight,false
why.am i always tired,14800,35,informational,energy,false
why am i always tired,14800,35,informational,energy,true
why i am always tired,14800,35,informational,energy,false
why am i always tired all the time,14800,26,informational,energy,true
why an i always tired,14800,53,informational,energy,true
brain fog,14800,33,informational,mind,true
problems with vitamin b12 deficiency,14800,32,informational,nutrition,false
vitamin b12 symptoms deficiency,14800,30,informational,nutrition,false
deficiency vitamin b12 symptoms,14800,31,informational,nutrition,false
vitamin b12 deficiency sign and symptoms,14800,33,informational,nutrition,false
vitamin b12 deficiency problems,14800,48,informational,nutrition,false
why am i always tired and have no energy female,9900,16,informational,energy,false
can vitamin b12 deficiency be a sign of cancer,9900,0,informational,nutrition,false
how to much protein to build muscle,8100,23,informational,exercise,false
how much protein to build muscle,8100,23,informational,exercise,false
how much protein to build muscle mass,8100,32,informational,exercise,false
how much protein build muscle,8100,18,informational,exercise,false
stress symptoms,8100,59,informational,mind,false
best way to lose belly fat,8100,56,informational,weight,false
how get rid of fat belly,8100,64,informational,weight,false
best way to lose fat on belly,8100,56,informational,weight,false
how to i get rid of belly fat,8100,56,informational,weight,false
how to get rid from belly fat,8100,56,informational,weight,false
how to get rid fat belly,8100,56,informational,weight,false
how can you get rid of belly fat,8100,56,informational,weight,false
best ways of losing belly fat,8100,48,informational,weight,false
how do you get rid of belly fat,8100,56,informational,weight,false
how to get rid of belly fat,8100,56,informational,weight,false
best way how to lose belly fat,8100,70,informational,weight,false
how to get rid belly fat,8100,56,informational,weight,false
how get rid of belly fat,8100,56,informational,weight,false
best ways lose belly fat,8100,56,informational,weight,false
how do you get rid of fat belly,8100,64,informational,weight,false
best way of losing belly fat,8100,56,informational,weight,false
best way lose belly fat,8100,56,informational,weight,false
how to to get rid of belly fat,8100,56,informational,weight,false
how can i get rid of belly fat,8100,56,informational,weight,false
what is the brain fog,6600,35,informational,mind,false
what is brain fog,6600,35,informational,mind,false
14 signs of vitamin d deficiency,6600,9,informational,nutrition,true
7-day diet plan for weight loss,6600,14,informational,weight,false
how to lose weight fast naturally and permanently,5400,81,informational,weight,false
brain fog symptoms,4400,30,informational,mind,false
brain fog symptom,4400,30,informational,mind,true
symptoms of vitamin b12 deficiency in females,4400,35,informational,nutrition,false
how to to build muscle,3600,57,informational,exercise,false
how much protein do i need to build muscle mass,3600,18,informational,exercise,false
how to build the muscle,3600,18,informational,exercise,false
how to build a muscle,3600,57,informational,exercise,false
how can you build muscle,3600,57,informational,exercise,false
how to build muscle,3600,57,informational,exercise,false
how much protein do i need build muscle,3600,28,informational,exercise,false
how do you build muscle mass,3600,57,informational,exercise,false
how much protein do i need to build muscle,3600,18,informational,exercise,false
how do you build muscle,3600,48,informational,exercise,false
how build muscle,3600,57,informational,exercise,false
physical symptoms of stress,3600,60,informational,mind,false
libido low,2900,47,informational,libido,false
libido is low,2900,42,informational,libido,false
how to lose weight in 7 days,2900,54,informational,weight,false
always feeling tired,2400,35,informational,energy,true
always tired and fatigued,2400,63,informational,energy,true
always tired fatigue,2400,35,informational,energy,true
lack of energy always tired,2400,66,informational,energy,true
always tired all the time,2400,65,informational,energy,true
always tired,2400,35,informational,energy,true
always tired and lack of energy,2400,63,informational,energy,false
why do i always feel tired,2400,63,informational,energy,true
lack of energy and always tired,2400,48,informational,energy,false
