query,vol,kd,cpc,competition,intent,assigned_to,priority,status,compliance_risk,notes,primary_article_slug,coverage_status,kd_source,score,role,compliance,ai_overview,serp_verdict,sources
low vitamin d symptoms,9900,22,0.05,0.02,informational,pillar-A,3,validated,medium,A.hub,pillar-A-hub-low-vitamin-d-symptoms,published,dfs,6,spoke,medium,Y,MIXED,csv
14 signs of vitamin d deficiency,6600,9,0.18,0.05,informational,pillar-A,3,validated,medium,A.1 easiest win in plan,pillar-A-spoke-14-signs-of-vitamin-d-deficiency,published,dfs,6,spoke,medium,n,MIXED,csv
vitamin d deficiency symptoms,1600,,0,0,informational,pillar-A,4,validated,medium,broad hub variant,,planned,dfs,1,spoke,medium,,,csv
vitamin d deficiency,49500,37,0.23,0.36,informational,pillar-A,3,validated,medium,head term hub-only,,planned,dfs,5,spoke,medium,,,csv
how much vitamin d3 should i take daily,9900,37,0.53,0.4,commercial,pillar-A,3,validated,medium,A.2,,planned,dfs,4,spoke,medium,,,csv
best vitamin d supplement,6600,2,0.92,1,commercial,pillar-A,3,validated,medium,A.3,,planned,dfs,6,spoke,medium,Y,CONTESTED,csv
vitamin d benefits,4400,62,0.38,0.3,informational,pillar-A,4,validated,medium,A.4,,planned,dfs,2,spoke,medium,,,csv
signs of vitamin d deficiency,1900,27,0.04,0.03,informational,pillar-A,4,validated,medium,A.5 ai-citation variant,,planned,dfs,3,spoke,medium,,,csv
vitamin d blood test,2400,15,0.92,1,commercial,pillar-A,3,validated,medium,LP-grade commercial intent,,,dfs,6,commercial,medium,,,csv
vitamin d test uk,260,0,0.77,1,commercial,pillar-A,3,validated,medium,LP variant; very low KD,,,dfs,5,commercial,medium,,,csv
low vitamin d treatment,1300,10,0.59,0.73,informational,pillar-A,3,validated,medium,A spoke,,,dfs,5,spoke,medium,,,csv
best time to take vitamin d,3600,19,0.2,0.06,informational,pillar-A,3,validated,medium,A spoke,,planned,dfs,5,spoke,medium,,,csv
can vitamin d deficiency cause hair loss,390,19,0,0,informational,pillar-A,4,validated,medium,A spoke + hair-loss crossover,,,dfs,3,spoke,medium,,,csv
does vitamin d deficiency cause hair loss,590,23,0,0.01,informational,pillar-A,4,validated,medium,A FAQ + hair-loss crossover,,,dfs,3,spoke,medium,,,csv
can vitamin d deficiency cause fatigue,720,9,0.04,0.01,informational,pillar-A,3,validated,medium,A FAQ + pillar-B crossover,,planned,dfs,5,spoke,medium,,,csv
can vitamin d deficiency cause weight gain,590,7,0,0,informational,pillar-A,3,validated,medium,A FAQ,,planned,dfs,5,spoke,medium,,,csv
can vitamin d deficiency cause tiredness,720,1,0.04,0.01,informational,pillar-A,3,validated,medium,A FAQ,,planned,dfs,5,spoke,medium,,,csv
can vitamin d deficiency cause dizziness,720,0,0,0,informational,pillar-A,3,validated,medium,A FAQ,,planned,dfs,5,spoke,medium,,,csv
what causes vitamin d deficiency,1300,27,0.03,0.04,informational,pillar-A,4,validated,medium,A FAQ,,planned,dfs,3,spoke,medium,,,csv
what is vitamin d deficiency a symptom of,1600,,0.03,0.07,informational,pillar-A,4,validated,medium,A FAQ,,planned,dfs,1,spoke,medium,,,csv
what is vitamin d deficiency,49500,37,0.05,0.04,informational,pillar-A,3,validated,medium,A FAQ,,planned,dfs,5,spoke,medium,,,csv
what are the symptoms of vitamin d deficiency,1600,,0.03,0.07,informational,pillar-A,4,validated,medium,A FAQ,,planned,dfs,1,spoke,medium,,,csv
what does vitamin d deficiency cause,1300,27,0.04,0.04,informational,pillar-A,4,validated,medium,A FAQ,,planned,dfs,3,spoke,medium,,,csv
5 weird signs of iron deficiency,0,44,0,0,informational,pillar-A,4,validated,medium,adjacent listicle pattern,,,dfs,1,spoke,medium,,,csv
why am i always tired,14800,35,0.47,0.09,informational,pillar-B,3,validated,medium,B.hub; DFS KD35,pillar-B-hub-why-am-i-always-tired,published,dfs,4,spoke,medium,,,csv
why am i so tired all the time,12100,20,0.43,0.14,informational,pillar-B,3,validated,medium,B.1; DFS KD20,pillar-B-hub-why-am-i-always-tired,published,dfs,6,spoke,medium,Y,CONTESTED,csv
feeling tired all the time,9900,43,1.08,0.15,informational,pillar-B,3,validated,medium,B.2; DFS KD43,pillar-B-hub-why-am-i-always-tired,published,dfs,4,spoke,medium,,,csv
why am i extremely exhausted,8100,43,0.44,0.07,informational,pillar-B,3,validated,medium,B.3,,,dfs,4,spoke,medium,,,csv
chronic fatigue and exhaustion,8100,,1.49,0.08,informational,pillar-B,3,validated,medium,B.4,,,dfs,4,spoke,medium,Y,MIXED,csv
why do i feel tired all the time,8100,24,0.44,0.09,informational,pillar-B,3,validated,medium,B spoke; DFS KD24,pillar-B-hub-why-am-i-always-tired,published,dfs,5,spoke,medium,Y,CONTESTED,csv
