query,vol,kd,category,variants,intent,kd_source,status
blood work test,49500,33,clinical,3,informational,dfs,candidate
blood test bookings,49500,14,clinical,1,transactional,dfs,candidate
c reactive protein blood test,27100,42,clinical,13,informational,dfs,candidate
test testosterone,22200,8,clinical,2,informational,dfs,candidate
blood test and liver function,18100,34,clinical,12,informational,dfs,candidate
liver test in blood,18100,49,clinical,5,informational,dfs,candidate
blood test fbc,18100,7,clinical,2,informational,dfs,candidate
f b c blood test,18100,18,clinical,1,informational,dfs,candidate
full blood picture test,18100,46,clinical,1,informational,dfs,candidate
ca-125 blood test,14800,13,clinical,2,informational,dfs,candidate
ca 125 blood test,14800,7,clinical,1,informational,dfs,candidate
normal blood sugar test,14800,70,clinical,2,informational,dfs,candidate
esr in blood test,12100,34,clinical,4,informational,dfs,candidate
chcm blood test,12100,45,clinical,1,informational,dfs,candidate
blood test close to me,12100,17,clinical,1,commercial,dfs,candidate
sed rate blood test,12100,36,clinical,1,informational,dfs,candidate
mchc blood test,12100,0,clinical,2,informational,dfs,candidate
tsh blood test,12100,48,clinical,1,informational,dfs,candidate
testosterone on blood test,3600,8,clinical,1,informational,dfs,candidate
hormone blood work test,2400,2,clinical,1,informational,dfs,candidate
how to test testosterone levels,2400,6,clinical,6,informational,dfs,candidate
test to check testosterone level,1900,21,clinical,1,informational,dfs,candidate
testosterone kit test,1900,0,clinical,1,transactional,dfs,candidate
test for vitamin a deficiency,1900,0,clinical,8,informational,dfs,candidate
luteinizing hormone blood test,1000,9,clinical,2,informational,dfs,candidate
hormone blood test for woman,1000,0,clinical,3,informational,dfs,candidate
testosterone at home test,880,0,clinical,4,informational,dfs,candidate
vitamin b12 deficiency test,880,1,clinical,5,informational,dfs,candidate
vitamin b 12 deficiency test,880,41,clinical,1,informational,dfs,candidate
blood test hormone levels,720,0,clinical,1,informational,dfs,candidate
blood test to check hormone levels,720,5,clinical,2,informational,dfs,candidate
blood test vitamin deficiency,720,4,clinical,5,informational,dfs,candidate
what is follicle stimulating hormone in blood test,590,18,clinical,1,informational,dfs,candidate
testosterone free test,590,10,clinical,2,informational,dfs,candidate
how to get testosterone test,480,0,clinical,1,informational,dfs,candidate
testosterone test in men,390,4,clinical,1,informational,dfs,candidate
manual testosterone test,390,4,clinical,1,transactional,dfs,candidate
test for vitamin mineral deficiency,390,0,clinical,6,informational,dfs,candidate
vitamin deficiency test uk,320,0,clinical,2,informational,dfs,candidate
vitamin d deficiency test,320,0,clinical,4,informational,dfs,candidate
testosterone level on blood test,260,1,clinical,1,informational,dfs,candidate
lab test testosterone levels,260,5,clinical,1,informational,dfs,candidate
testosterone home test kit,260,0,clinical,1,transactional,dfs,candidate
testosterone online test,260,0,clinical,1,informational,dfs,candidate
test for vitamin and mineral deficiency in blood,260,0,clinical,3,informational,dfs,candidate
at home test for vitamin deficiency,260,0,clinical,7,informational,dfs,candidate
how to test testosterone levels at-home,210,0,clinical,1,informational,dfs,candidate
how test testosterone levels at home,210,0,clinical,4,informational,dfs,candidate
full vitamin deficiency test,210,0,clinical,1,informational,dfs,candidate
cheapest testosterone test uk,140,0,clinical,1,commercial,dfs,candidate
vitamin d deficiency blood test,140,12,clinical,1,informational,dfs,candidate
growth hormone blood test,110,0,clinical,1,informational,dfs,candidate
blood test hormone profile,110,0,clinical,1,informational,dfs,candidate
bupa testosterone test,110,0,clinical,1,transactional,dfs,candidate
manual testosterone test review,110,4,clinical,1,informational,dfs,candidate
testosterone finger length test,110,8,clinical,1,informational,dfs,candidate
full hormone blood test,90,0,clinical,1,informational,dfs,candidate
what will a hormone blood test show,90,14,clinical,1,informational,dfs,candidate
complete hormone blood test,90,0,clinical,1,informational,dfs,candidate
blood test testosterone fasting,90,3,clinical,5,informational,dfs,candidate
finger test testosterone,90,6,clinical,2,transactional,dfs,candidate
how to test testosterone levels uk,90,0,clinical,1,informational,dfs,candidate
enhanced testosterone blood test,90,0,clinical,1,informational,dfs,candidate
home test for vitamin b12 deficiency,90,0,clinical,1,informational,dfs,candidate
how long do hormone blood test results take,70,6,clinical,1,informational,dfs,candidate
full hormone panel blood test,70,0,clinical,1,informational,dfs,candidate
how long does hormone blood test take,70,0,clinical,1,informational,dfs,candidate
tesco testosterone test,70,0,clinical,1,transactional,dfs,candidate
testosterone home test uk,70,0,clinical,1,informational,dfs,candidate
blood test results testosterone,70,23,clinical,2,informational,dfs,candidate
can i get a testosterone test at my gp,70,0,clinical,1,transactional,dfs,candidate
best vitamin deficiency test uk,70,0,clinical,1,informational,dfs,candidate
hormone blood test name,50,14,clinical,1,informational,dfs,candidate
how to lower testosterone for blood test,50,12,clinical,1,informational,dfs,candidate
how to check testosterone level at home without test,50,0,clinical,1,informational,dfs,candidate
testosterone venous blood test,50,,clinical,1,informational,dfs,candidate
blood testosterone test kit,50,,clinical,1,transactional,dfs,candidate
testosterone total test,50,13,clinical,1,informational,dfs,candidate
how to check testosterone level at-home without test,50,1,clinical,1,informational,dfs,candidate
vitamin b12 deficiency blood test,50,46,clinical,1,informational,dfs,candidate
hormone panel blood test,40,,clinical,2,informational,dfs,candidate
hormone blood test results,40,5,clinical,1,informational,dfs,candidate
does testosterone blood test require fasting,40,,clinical,1,informational,dfs,candidate
testosterone blood test time,40,,clinical,1,informational,dfs,candidate
does blood test show testosterone levels,40,,clinical,2,informational,dfs,candidate
testosterone blood test timing,40,,clinical,1,informational,dfs,candidate
vitamin and mineral deficiency test uk,40,0,clinical,2,informational,dfs,candidate
vitamin b deficiency test,40,3,clinical,1,informational,dfs,candidate
full male hormone blood test,30,,clinical,1,informational,dfs,candidate
fasting gut hormone blood test,30,,clinical,1,informational,dfs,candidate
full hormone blood test uk,30,,clinical,1,informational,dfs,candidate
how long for hormone blood test results,30,,clinical,1,informational,dfs,candidate
hormone blood test for perimenopause,30,,clinical,1,informational,dfs,candidate
will my gp test me for low testosterone,30,,clinical,1,informational,dfs,candidate
ways to lower testosterone before blood test reddit,30,,clinical,1,informational,dfs,candidate
vitamin deficiency test kit,30,0,clinical,1,transactional,dfs,candidate
vitamin deficiency test online,30,0,clinical,3,transactional,dfs,candidate
home test for vitamin d deficiency,30,,clinical,3,informational,dfs,candidate
test for vitamin b1 deficiency,30,0,clinical,1,informational,dfs,candidate
how to get a vitamin deficiency test,30,,clinical,1,informational,dfs,candidate
vitamin b12 deficiency blood test results,30,,clinical,1,informational,dfs,candidate
can you get a blood test for vitamin deficiency,30,,clinical,1,informational,dfs,candidate
hormone blood test at home,20,,clinical,1,informational,dfs,candidate
can you get a blood test to check hormone levels,20,,clinical,1,informational,dfs,candidate
hormone check blood test,20,32,clinical,1,informational,dfs,candidate
hormone and vitamin blood test,20,,clinical,1,informational,dfs,candidate
does blood test show vitamin deficiency,20,,clinical,1,informational,dfs,candidate
vitamin deficiency blood test uk,20,0,clinical,1,informational,dfs,candidate
blood test for vitamin and mineral deficiency uk,20,,clinical,1,informational,dfs,candidate
test for vitamin d deficiency uk,20,0,clinical,1,informational,dfs,candidate
pcos hormone blood test,10,,clinical,1,informational,dfs,candidate
hormone blood test dublin,10,,clinical,1,informational,dfs,candidate
when to take a hormone blood test,10,,clinical,1,informational,dfs,candidate
hormone blood test report,10,,clinical,1,informational,dfs,candidate
