keyword,keyword_type,cluster,primary_kit,also_relevant_kits,biomarker_rationale,routing_note,search_volume,difficulty,intent
low testosterone,condition,male-hormones,Testosterone Test,Free Testosterone & SHBG Test; Testosterone & Estrogen Test; Male Ultimate Hormones Check Test; Male Total Health Check Test,Total testosterone is the core marker; free T/SHBG give the bioavailable picture,Hub term - route symptom searches here,,62,informational
low T,slang,male-hormones,Testosterone Test,Free Testosterone & SHBG Test; Male Ultimate Hormones Check Test,Total + free testosterone,,,62,informational
signs of low testosterone,symptom,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test; Testosterone & Estrogen Test,"Total/free testosterone, SHBG, FAI",,,62,informational
testosterone deficiency,condition,male-hormones,Testosterone Test,Free Testosterone & SHBG Test; Male Ultimate Hormones Check Test,Low total/free testosterone,,,30,informational
male hypogonadism,condition,male-hormones,Male Ultimate Hormones Check Test,Testosterone Test; Male Fertility Test,Testosterone low; LH/FSH discriminate primary vs secondary,Male Ultimate adds LH/FSH/prolactin for cause,880,36,informational
male menopause,condition,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test; Male Total Health Check Test,Age-related testosterone decline,,,29,informational
andropause,condition,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test,Testosterone decline,,,30,informational
manopause,slang,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test,Testosterone,"SERP 2026-07-20: clean male andropause/low-T intent (informational/AEO). Mapping holds; treat as top-of-funnel education, not transactional.",40500,10,informational
do I have low testosterone,symptom,male-hormones,Testosterone Test,Free Testosterone & SHBG Test; Male Ultimate Hormones Check Test,Total/free testosterone,,,62,informational
no sex drive male,symptom,male-hormones,Testosterone & Estrogen Test,Testosterone Test; Male Ultimate Hormones Check Test; Male Fertility Test,"Testosterone, oestradiol, prolactin all drive libido",Prolactin on Male Fertility/Ultimate,480,50,informational
low libido men,symptom,male-hormones,Testosterone & Estrogen Test,Testosterone Test; Male Ultimate Hormones Check Test; Thyroid Function Test,"Low T, high prolactin, high E2, thyroid all contribute",,,59,informational
lost my libido,symptom,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,Testosterone/oestradiol/prolactin,,,,
gym gains stalled,situation,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test; Cortisol (Stress) Test,Testosterone + cortisol (overtraining suppression),,,,
cant build muscle,symptom,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test,Low testosterone,,20,38,informational
losing muscle,symptom,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test,Low testosterone,,170,41,informational
brain fog male,symptom,male-hormones,Testosterone & Estrogen Test,Thyroid Function Test; Male Ultimate Hormones Check Test; Vitamins & Minerals Complete Test,"Low T, thyroid, low vitamin D/B12 all cause brain fog",Overlaps thyroid + nutrition clusters,,,
weak erections,symptom,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test; Diabetes (HbA1c) Test; Cholesterol Test,Hormonal ED = T/E2/prolactin; vascular ED = glucose/lipids,ED adjacency: check diabetes + cholesterol,,,
no morning erections,symptom,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,Low testosterone,,,,
erectile dysfunction blood test,situation,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test; Male Fertility Test; Diabetes (HbA1c) Test; Cholesterol Test,"Testosterone, oestradiol, prolactin, thyroid; plus HbA1c and lipids for vascular ED",Firewall: hormonal vs vascular ED - offer both,,18,informational
ED at 30,situation,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test; Diabetes (HbA1c) Test,Testosterone + prolactin; early vascular/metabolic,,,,
cant stay hard,slang,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test; Diabetes (HbA1c) Test,"Testosterone, oestradiol; metabolic",,,,
low mood men hormonal,symptom,male-hormones,Testosterone Test,Thyroid Function Test; Male Ultimate Hormones Check Test; Vitamins & Minerals Complete Test,"Testosterone, thyroid, vitamin D all affect mood",,,,
irritable no energy,symptom,male-hormones,Testosterone Test,Thyroid Function Test; Cortisol (Stress) Test,"Testosterone, thyroid, cortisol",,,,
TRT before test,situation,male-hormones,Male Ultimate Hormones Check Test,Testosterone Test; Free Testosterone & SHBG Test,"Baseline testosterone, E2, LH/FSH before therapy",Compliance: frame as baseline monitoring only,,,
pre-TRT bloods,situation,male-hormones,Male Ultimate Hormones Check Test,Testosterone Test,Baseline full male hormone panel,Compliance: monitoring framing,,,
baseline testosterone before TRT,situation,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test,Baseline total/free testosterone,,,,
free testosterone test,biomarker,male-hormones,Free Testosterone & SHBG Test,Testosterone & SHBG Test; Male Ultimate Hormones Check Test,"Free T, SHBG, FAI = bioavailable testosterone",Testosterone & SHBG Test is the twin partner-brand kit,,38,informational
SHBG test,biomarker,male-hormones,Free Testosterone & SHBG Test,Male Ultimate Hormones Check Test,SHBG contextualises total testosterone,,260,7,informational
bioavailable testosterone,biomarker,male-hormones,Free Testosterone & SHBG Test,Male Ultimate Hormones Check Test,"Free androgen index, free testosterone",,,7,informational
symptoms but normal testosterone,symptom,male-hormones,Free Testosterone & SHBG Test,Male Ultimate Hormones Check Test,Total may be normal while free T is low due to high SHBG,Key upsell from basic testosterone test,,,
man boobs,slang,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,High oestradiol and/or high E2:T ratio,May also need liver/thyroid check,,57,transactional
moobs,slang,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,"Oestradiol, testosterone ratio","SERP 2026-07-20: intent is cosmetic surgery / gym / male-breast-cancer charity, NOT hormone testing. DE-PRIORITISE + brand-safety risk.",6600,5,informational
gyno blood test,slang,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test; Male Fertility Test,"Oestradiol, testosterone, prolactin",PED-adjacent - keep copy compliant,,,
gynaecomastia,condition,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test; Thyroid Function Test; Liver Function Test,"High E2:T ratio; prolactin, thyroid, liver as causes",Liver disease can cause gynaecomastia,,56,informational
puffy nipples male,symptom,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,Oestradiol excess,,,,
sore nipples man,symptom,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,Oestradiol,,,,
high oestrogen men,condition,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,Oestradiol high relative to testosterone,,,,
estradiol test male,biomarker,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,Oestradiol (E2),,,,
lump behind nipple male,symptom,male-hormones,Testosterone & Estrogen Test,Male Ultimate Hormones Check Test,Glandular tissue from oestrogen excess,Signpost GP if hard/fixed lump - breast cancer red flag,720,17,informational
male fertility test,condition,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,"FSH, LH, prolactin, testosterone",Blood complements not replaces semen analysis,,4,informational
low sperm count,condition,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,"FSH high = impaired production; LH, testosterone, prolactin",Hormonal context only,,55,informational
trying for a baby male,situation,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,"FSH, LH, testosterone, prolactin",,,,
